iter	MultiClass
162	0.3933397935
163	0.3917824617
164	0.3906027264
165	0.3895416026
166	0.3882901023
167	0.3869219401
168	0.3863722171
169	0.3850238243
170	0.3842358195
171	0.3835532974
172	0.3814825027
173	0.3805623089
174	0.3788005203
175	0.377343477
176	0.3757143148
177	0.3748780955
178	0.3747359135
179	0.3741623157
180	0.3724345695
181	0.3710923923
182	0.3699885642
183	0.3686850757
184	0.3683615286
185	0.367473756
186	0.3666833869
187	0.3661654132
188	0.3654609338
189	0.3643989379
190	0.3631833257
191	0.3622171587
192	0.3609185068
193	0.3593266674
194	0.3587827924
195	0.3575215763
196	0.3569586296
197	0.3561524942
198	0.3551040315
199	0.35386513
200	0.3534465286
201	0.3529841059
202	0.3520543463
203	0.3508951831
204	0.3502488621
205	0.3492748086
206	0.3482282803
207	0.3476478356
208	0.3467537447
209	0.3458135893
210	0.3451564023
211	0.3445718169
212	0.3442071467
213	0.3431693376
214	0.3426175608
215	0.3424253343
216	0.3415804507
217	0.340831336
218	0.3406021604
219	0.3395316937
220	0.3383721789
221	0.3373018062
222	0.336795782
223	0.3356841527
224	0.3351725396
225	0.3345870988
226	0.3334512284
227	0.3330850899
228	0.3321515635
229	0.3311185793
230	0.3306447358
231	0.3296848442
232	0.3289522645
233	0.3280612606
234	0.3271194152
235	0.3263795702
236	0.3255168513
237	0.3246877556
238	0.3242170997
239	0.3237596768
240	0.3229586778
241	0.3219925774
242	0.3209047326
243	0.3200150529
244	0.3196582107
245	0.3189075086
246	0.3179064476
247	0.3172579746
248	0.3164370049
249	0.3161285397
250	0.3152080799
251	0.3144695367
252	0.3137538341
253	0.3133600605
254	0.3129435052
255	0.3122120482
256	0.3113010615
257	0.3109068548
258	0.3100675556
259	0.3095629693
260	0.3087402807
261	0.3079423296
262	0.3069795631
263	0.3060553232
264	0.3055837011
265	0.3048710442
266	0.3043553337
267	0.3039839457
268	0.303432665
269	0.3028068858
270	0.3020288778
271	0.3012480776
272	0.3006919
273	0.300138959
274	0.2997574561
275	0.2992642828
276	0.2989053945
277	0.2982651184
278	0.2979284722
279	0.2975742609
280	0.2967646253
281	0.2961947679
282	0.2960726226
283	0.2955032248
284	0.2951820607
285	0.2946990223
286	0.2941599709
287	0.2938835882
288	0.29341034
289	0.2931174236
290	0.292738772
291	0.2922075526
292	0.291886906
293	0.2916610299
294	0.2913683246
295	0.2908138361
296	0.2903271333
297	0.2897343496
298	0.2890232158
299	0.2884691393
300	0.2882309
301	0.287590112
302	0.2870386448
303	0.2868527055
304	0.2865505992
305	0.2863417601
306	0.285751087
307	0.2853304223
308	0.2850726474
309	0.2846315247
310	0.2841066959
311	0.283605206
312	0.2832417795
313	0.2826473087
314	0.2824294488
315	0.282199965
316	0.2817234826
317	0.2813493556
318	0.2810938507
319	0.2807039291
320	0.2800641952
321	0.2796857027
322	0.2792326376
323	0.2787470795
324	0.2782046758
325	0.2778819418
326	0.2776329281
327	0.277146326
328	0.2767267614
329	0.2766581916
330	0.2762663033
331	0.275730481
332	0.2755301399
333	0.2753129453
334	0.2751037561
335	0.2749960985
336	0.2746346981
337	0.274345322
338	0.273823161
339	0.2733466915
340	0.2730305417
341	0.2727772717
342	0.2724124569
343	0.2721035026
344	0.2716981767
345	0.2713067159
346	0.2707585661
347	0.2705153982
348	0.2702045362
349	0.2698370605
350	0.2694947164
351	0.2694164275
352	0.2692007374
353	0.2688255201
354	0.2687762077
355	0.2685318869
356	0.2683177112
357	0.2679932448
358	0.26772223
359	0.2673283543
360	0.2671868296
361	0.2668677649
362	0.2664238081
363	0.2663703034
364	0.2663255474
365	0.2660930403
366	0.2657008672
367	0.2653777268
368	0.2652368746
369	0.2651984882
370	0.2649670316
371	0.2645987629
372	0.2644721214
373	0.264087943
374	0.263848001
375	0.2636343022
376	0.2634013841
377	0.2630853042
378	0.2627390221
379	0.2623746784
380	0.2619629166
381	0.2617698774
382	0.261574616
383	0.2611998146
384	0.2611516069
385	0.2609379435
386	0.2607253589
387	0.2605501298
388	0.2602599112
389	0.2599131575
390	0.2594829223
391	0.2594177007
392	0.2593318517
393	0.2589874346
394	0.2588841377
395	0.2586864651
396	0.2585717767
397	0.2583667002
398	0.2582853413
399	0.2582441282
